"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"19630",29827,"Morera","04/03/2011 12:21","Alto (> 8 mts)",180,"Grande",-68.8423773556,-32.8913151211,2,"Barrio Civico",2366816.36021,0,"alto"
"19635",29838,"Ligustro","03/03/2011 19:29","Alto (> 8 mts)",68,"Grande",-68.8426398603,-32.8931500813,2,"Barrio Civico",2366816.36021,0,"bajo"
"19636",29839,"Ligustro","03/03/2011 19:32","Alto (> 8 mts)",84,"Grande",-68.8426541107,-32.893205371,2,"Barrio Civico",2366816.36021,0,"bajo"
"19640",29843,"Morera","03/03/2011 19:48","Medio (4 - 8 mts)",62,"Grande",-68.8421944088,-32.8934475306,2,"Barrio Civico",2366816.36021,0,"bajo"
"19643",29848,"Olmo comun","03/03/2011 14:40","Alto (> 8 mts)",142,"Grande",-68.8416371208,-32.8925755761,2,"Barrio Civico",2366816.36021,0,"medio"
"19645",29851,"Pltano","14/03/2011 09:35","Alto (> 8 mts)",260,"Grande",-68.8414037305,-32.8924754217,2,"Barrio Civico",2366816.36021,0,"muy alto"
"19647",29853,"Pltano","14/03/2011 09:31","Alto (> 8 mts)",142,"Grande",-68.8414969482,-32.8924576692,2,"Barrio Civico",2366816.36021,0,"medio"
"19654",29861,"Pltano","14/03/2011 08:59","Alto (> 8 mts)",180,"Grande",-68.8421648134,-32.8923355549,2,"Barrio Civico",2366816.36021,0,"alto"
"19657",29865,"Fresno europeo","14/03/2011 08:44","Alto (> 8 mts)",130,"Grande",-68.8423752951,-32.8922922506,2,"Barrio Civico",2366816.36021,0,"medio"
"19660",29868,"Pltano","14/03/2011 08:36","Alto (> 8 mts)",195,"Grande",-68.8423815371,-32.8921235674,2,"Barrio Civico",2366816.36021,0,"alto"
"19663",29877,"Pltano","11/03/2011 12:54","Alto (> 8 mts)",185,"Grande",-68.8422131934,-32.8914199575,2,"Barrio Civico",2366816.36021,0,"alto"
"19664",29878,"Fresno europeo","11/03/2011 12:40","Bajo (2 - 4 mts)",18,"Chico",-68.8420691209,-32.891380956,2,"Barrio Civico",2366816.36021,0,"bajo"
"19683",29907,"Morera","15/03/2011 09:17","Bajo (2 - 4 mts)",11,"Chico",-68.8403368516,-32.8916882041,2,"Barrio Civico",2366816.36021,0,"bajo"
"19685",29913,"Pltano","15/03/2011 08:46","Alto (> 8 mts)",160,"Grande",-68.8399375733,-32.8922577564,2,"Barrio Civico",2366816.36021,0,"medio"
"19686",29914,"Pltano","15/03/2011 08:44","Alto (> 8 mts)",210,"Grande",-68.8399555379,-32.8923350958,2,"Barrio Civico",2366816.36021,0,"alto"
"19692",29928,"Pltano","14/03/2011 12:23","Alto (> 8 mts)",123,"Grande",-68.8408574237,-32.892585082,2,"Barrio Civico",2366816.36021,1,"medio"
"19696",29933,"Fresno americano","05/05/2011 09:16","Alto (> 8 mts)",140,"Grande",-68.8431930937,-32.8865078956,1,"Parque Central",1655357.93265,0,"medio"
"19699",29937,"Fresno europeo","05/05/2011 09:08","Medio (4 - 8 mts)",50,"Mediano",-68.8433877785,-32.8864720123,1,"Parque Central",1655357.93265,0,"bajo"
"19708",29950,"Pltano","28/04/2011 12:26","Alto (> 8 mts)",180,"Grande",-68.8427219304,-32.8855967158,1,"Parque Central",1655357.93265,0,"alto"
"19711",29954,"Morera","28/04/2011 12:17","Alto (> 8 mts)",168,"Grande",-68.8422299967,-32.8859108769,1,"Parque Central",1655357.93265,1,"medio"
"19712",29955,"Morera","28/04/2011 12:15","Alto (> 8 mts)",200,"Grande",-68.8422671803,-32.886035177,1,"Parque Central",1655357.93265,0,"alto"
"19716",29961,"Morera","28/04/2011 10:07","Alto (> 8 mts)",200,"Grande",-68.8424174381,-32.8865778243,1,"Parque Central",1655357.93265,1,"alto"
"19718",29965,"Fresno americano","28/04/2011 09:58","Alto (> 8 mts)",160,"Grande",-68.8426534558,-32.8866091397,1,"Parque Central",1655357.93265,0,"medio"
"19720",29968,"Fresno americano","28/04/2011 09:49","Alto (> 8 mts)",132,"Grande",-68.8429653865,-32.8865497532,1,"Parque Central",1655357.93265,0,"medio"
"19724",29976,"Morera","28/04/2011 12:17","Alto (> 8 mts)",20,"Chico",-68.8422009696,-32.8863701622,1,"Parque Central",1655357.93265,0,"bajo"
"19725",29977,"Morera","28/04/2011 12:17","Alto (> 8 mts)",180,"Grande",-68.8421777299,-32.8862773488,1,"Parque Central",1655357.93265,0,"alto"
"19726",29979,"Morera","28/04/2011 10:17","Alto (> 8 mts)",200,"Grande",-68.8421237741,-32.886089368,1,"Parque Central",1655357.93265,0,"alto"
"19732",29991,"Pltano","28/04/2011 09:35","Alto (> 8 mts)",142,"Grande",-68.8409536453,-32.8860066484,3,"Parque O'Higgins",1531146.02653,1,"medio"
"19737",29998,"Pltano","28/04/2011 09:15","Alto (> 8 mts)",138,"Grande",-68.841068928,-32.886481461,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19738",30000,"Pltano","28/04/2011 09:12","Alto (> 8 mts)",107,"Grande",-68.8411059879,-32.8866144175,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19744",30007,"Fresno americano","28/04/2011 12:31","Alto (> 8 mts)",140,"Grande",-68.8415719189,-32.8868034414,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19746",30011,"Pltano","29/04/2011 11:12","Alto (> 8 mts)",162,"Grande",-68.8408074306,-32.8869534139,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19750",30017,"Pltano","29/04/2011 11:21","Alto (> 8 mts)",98,"Grande",-68.8409813034,-32.8867159491,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19751",30020,"Pltano","02/05/2011 14:22","Alto (> 8 mts)",170,"Grande",-68.8409234421,-32.8865019942,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19762",30036,"Pltano","29/04/2011 10:43","Alto (> 8 mts)",98,"Grande",-68.8400963145,-32.8870778455,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19766",30040,"Fresno europeo","05/05/2011 09:31","Muy bajo (1 - 2 mts)",6,"Chico",-68.8398315032,-32.8867599289,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19769",30046,"Acacia SP","05/05/2011 09:25","Alto (> 8 mts)",92,"Grande",-68.8396807844,-32.8861993324,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19770",30049,"Pltano","29/04/2011 11:26","Alto (> 8 mts)",178,"Grande",-68.8399892399,-32.8861021058,3,"Parque O'Higgins",1531146.02653,1,"alto"
"19771",30051,"Pltano","05/05/2011 09:21","Alto (> 8 mts)",178,"Grande",-68.8403153412,-32.8860409568,3,"Parque O'Higgins",1531146.02653,0,"alto"
"19773",30053,"Pltano","05/05/2011 10:25","Bajo (2 - 4 mts)",22,"Mediano",-68.8405527809,-32.8859990525,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19775",30058,"Acacia SP","05/04/2011 09:32","Alto (> 8 mts)",92,"Grande",-68.8397507891,-32.8870830803,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19779",30063,"Morera","05/04/2011 09:25","Medio (4 - 8 mts)",72,"Grande",-68.8396202804,-32.8865995159,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19780",30066,"Pltano","11/04/2011 15:34","Alto (> 8 mts)",172,"Grande",-68.8393915934,-32.8862124444,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19782",30068,"Pltano","11/04/2011 15:31","Alto (> 8 mts)",178,"Grande",-68.8391113246,-32.8862641037,3,"Parque O'Higgins",1531146.02653,0,"alto"
"19794",30084,"Morera","26/04/2011 11:00","Alto (> 8 mts)",190,"Grande",-68.8423944594,-32.8870619138,1,"Parque Central",1655357.93265,1,"alto"
"19796",30086,"Morera","26/04/2011 10:56","Alto (> 8 mts)",200,"Grande",-68.8424262921,-32.8872125391,3,"Parque O'Higgins",1531146.02653,1,"alto"
"19798",30088,"Morera","26/04/2011 10:53","Muy bajo (1 - 2 mts)",12,"Chico",-68.8424705629,-32.8873954337,3,"Parque O'Higgins",1531146.02653,1,"bajo"
"19799",30089,"Morera","26/04/2011 10:52","Alto (> 8 mts)",175,"Grande",-68.8424882066,-32.8874609458,3,"Parque O'Higgins",1531146.02653,1,"medio"
"19803",30094,"Pltano","26/04/2011 10:38","Alto (> 8 mts)",190,"Grande",-68.8424265375,-32.8877658284,3,"Parque O'Higgins",1531146.02653,1,"alto"
"19815",30109,"Pltano","26/04/2011 10:00","Alto (> 8 mts)",175,"Grande",-68.8413168257,-32.8874612629,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19817",30111,"Pltano","26/04/2011 09:54","Alto (> 8 mts)",195,"Grande",-68.8412705026,-32.8872954452,3,"Parque O'Higgins",1531146.02653,1,"alto"
"19822",30122,"Fresno americano","26/04/2011 09:31","Alto (> 8 mts)",138,"Grande",-68.8417594948,-32.8869071481,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19834",30139,"Morera","16/03/2011 08:16","Alto (> 8 mts)",165,"Grande",-68.8404443122,-32.8915456442,2,"Barrio Civico",2366816.36021,0,"medio"
"19837",30143,"Morera","16/03/2011 08:09","Alto (> 8 mts)",170,"Grande",-68.8401409074,-32.8916054004,2,"Barrio Civico",2366816.36021,0,"medio"
"19850",30164,"Pltano","31/03/2011 15:11","Alto (> 8 mts)",92,"Grande",-68.8401933474,-32.8880799069,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19855",30169,"Tilo","31/03/2011 16:11","Alto (> 8 mts)",60,"Mediano",-68.8411214864,-32.8872214156,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19856",30170,"Tilo","31/03/2011 16:08","Alto (> 8 mts)",58,"Mediano",-68.8411939936,-32.8875165016,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19864",30181,"Morera","09/03/2011 13:09","Alto (> 8 mts)",180,"Grande",-68.8426328098,-32.8899459142,2,"Barrio Civico",2366816.36021,0,"alto"
"19871",30190,"Morera","09/03/2011 10:30","Alto (> 8 mts)",150,"Grande",-68.8430539382,-32.8896146209,2,"Barrio Civico",2366816.36021,0,"medio"
"19877",30199,"Fresno europeo","09/03/2011 09:46","Medio (4 - 8 mts)",77,"Grande",-68.8426001175,-32.888964866,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"19878",30200,"Fresno europeo","09/03/2011 09:39","Alto (> 8 mts)",200,"Grande",-68.8424057356,-32.8890002398,3,"Parque O'Higgins",1531146.02653,0,"alto"
"19881",30206,"Pltano","09/03/2011 09:18","Alto (> 8 mts)",200,"Grande",-68.8417635962,-32.8891518635,3,"Parque O'Higgins",1531146.02653,0,"alto"
"19884",30209,"Pltano","09/03/2011 09:12","Alto (> 8 mts)",174,"Grande",-68.8418105696,-32.8893364677,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19899",30233,"Pltano","10/03/2011 08:51","Alto (> 8 mts)",205,"Grande",-68.8422865694,-32.8911411732,2,"Barrio Civico",2366816.36021,0,"alto"
"19907",30246,"Morera","09/03/2011 13:57","Alto (> 8 mts)",111,"Grande",-68.8421713558,-32.8902176832,2,"Barrio Civico",2366816.36021,1,"medio"
"19924",30269,"Pltano","04/03/2011 13:15","Alto (> 8 mts)",240,"Grande",-68.8416186408,-32.8891949675,3,"Parque O'Higgins",1531146.02653,0,"alto"
"19933",30281,"Morera","04/03/2011 12:38","Alto (> 8 mts)",140,"Grande",-68.8417963067,-32.8901319598,2,"Barrio Civico",2366816.36021,0,"medio"
"19939",30291,"Morera","11/03/2011 09:20","Alto (> 8 mts)",112,"Grande",-68.8408567533,-32.8904618615,3,"Parque O'Higgins",1531146.02653,1,"medio"
"19940",30293,"Morera","11/03/2011 09:15","Alto (> 8 mts)",118,"Grande",-68.8409462399,-32.8904466809,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19947",30304,"Morera","11/03/2011 08:48","Alto (> 8 mts)",116,"Grande",-68.8418580537,-32.8902756908,2,"Barrio Civico",2366816.36021,1,"medio"
"19949",30309,"Pltano","11/03/2011 08:35","Alto (> 8 mts)",125,"Grande",-68.841994751,-32.8906387223,2,"Barrio Civico",2366816.36021,1,"medio"
"19951",30312,"Pltano","11/03/2011 08:20","Alto (> 8 mts)",160,"Grande",-68.8420475708,-32.8908352279,2,"Barrio Civico",2366816.36021,0,"medio"
"19956",30320,"Fresno europeo","10/03/2011 13:13","Muy bajo (1 - 2 mts)",8,"Chico",-68.8418932203,-32.891286608,2,"Barrio Civico",2366816.36021,0,"bajo"
"19961",30327,"Fresno europeo","10/03/2011 12:55","Muy bajo (1 - 2 mts)",10,"Chico",-68.8412086802,-32.8914077187,2,"Barrio Civico",2366816.36021,0,"bajo"
"19964",30331,"Acacia SP","10/03/2011 12:25","Alto (> 8 mts)",115,"Grande",-68.8409776349,-32.891162817,2,"Barrio Civico",2366816.36021,0,"medio"
"19974",30344,"Acacia SP","04/03/2011 10:08","Alto (> 8 mts)",140,"Grande",-68.8406319128,-32.8898405875,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19977",30349,"Acacia SP","03/03/2011 13:44","Alto (> 8 mts)",130,"Grande",-68.8405308129,-32.8894661791,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19978",30350,"Acacia SP","03/03/2011 13:42","Alto (> 8 mts)",120,"Grande",-68.8405200735,-32.8894279039,3,"Parque O'Higgins",1531146.02653,1,"medio"
"19979",30351,"Acacia SP","03/03/2011 13:40","Alto (> 8 mts)",130,"Grande",-68.840535683,-32.8893456995,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19983",30358,"Morera","14/03/2011 11:17","Alto (> 8 mts)",108,"Grande",-68.8401920688,-32.8905901433,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19984",30359,"Morera","14/03/2011 11:12","Alto (> 8 mts)",127,"Grande",-68.8400867982,-32.8906080714,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19986",30363,"Morera","14/03/2011 11:04","Alto (> 8 mts)",125,"Grande",-68.8398061106,-32.8906640553,3,"Parque O'Higgins",1531146.02653,0,"medio"
"19989",30368,"Morera","03/03/2011 13:15","Alto (> 8 mts)",140,"Grande",-68.8395526484,-32.8905411328,3,"Parque O'Higgins",1531146.02653,1,"medio"
"19990",30369,"Pltano","03/03/2011 13:13","Alto (> 8 mts)",300,"Grande",-68.8394543875,-32.8904938897,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
"19994",30375,"Pltano","03/03/2011 12:47","Alto (> 8 mts)",260,"Grande",-68.8393082652,-32.8898743825,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
"20002",30386,"Fresno europeo","02/03/2011 13:23","Muy bajo (1 - 2 mts)",12,"Chico",-68.8402911344,-32.8893920599,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"20003",30387,"Acacia SP","02/03/2011 13:16","Muy bajo (1 - 2 mts)",8,"Chico",-68.8403695603,-32.8894379452,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"20005",30389,"Acacia SP","02/03/2011 13:08","Alto (> 8 mts)",140,"Grande",-68.8404463527,-32.8897304672,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20009",30395,"Morera","04/03/2011 09:52","Alto (> 8 mts)",160,"Grande",-68.8405480895,-32.8903596331,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20023",30413,"Morera","21/02/2011 13:15","Alto (> 8 mts)",220,"Grande",-68.8427170358,-32.8883068349,3,"Parque O'Higgins",1531146.02653,0,"alto"
"20028",30425,"Pltano","21/02/2011 12:19","Muy bajo (1 - 2 mts)",8,"Chico",-68.8416799705,-32.888800079,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"20029",30427,"Pltano","21/02/2011 12:15","Alto (> 8 mts)",260,"Grande",-68.8416277038,-32.8886030924,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
"20034",30433,"Pltano","21/02/2011 10:16","Alto (> 8 mts)",215,"Grande",-68.8416195232,-32.8880381884,3,"Parque O'Higgins",1531146.02653,0,"alto"
"20038",30441,"Pltano","21/02/2011 09:54","Alto (> 8 mts)",270,"Grande",-68.8422055818,-32.8879283818,3,"Parque O'Higgins",1531146.02653,1,"muy alto"
"20041",30447,"Pltano","21/02/2011 09:22","Alto (> 8 mts)",150,"Grande",-68.8414210356,-32.8884145735,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20043",30449,"Pltano","21/02/2011 09:33","Alto (> 8 mts)",264,"Grande",-68.8414710691,-32.8886133698,3,"Parque O'Higgins",1531146.02653,0,"muy alto"
"20044",30450,"Pltano","21/02/2011 09:35","Alto (> 8 mts)",150,"Grande",-68.8415154282,-32.8887604018,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20047",30455,"Fresno americano","18/02/2011 12:11","Alto (> 8 mts)",170,"Grande",-68.8412221092,-32.8890959098,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20052",30464,"Pltano","18/02/2011 13:47","Alto (> 8 mts)",180,"Grande",-68.8403296817,-32.8882916982,3,"Parque O'Higgins",1531146.02653,0,"alto"
"20054",30467,"Morera","18/02/2011 13:27","Alto (> 8 mts)",154,"Grande",-68.8403752281,-32.8888739173,3,"Parque O'Higgins",1531146.02653,1,"medio"
"20064",30485,"Pltano","17/02/2011 09:48","Alto (> 8 mts)",260,"Grande",-68.8394562744,-32.8884401995,3,"Parque O'Higgins",1531146.02653,1,"muy alto"
"20073",30497,"Pltano","15/07/2011 10:27","Alto (> 8 mts)",160,"Grande",-68.8391595691,-32.8893449363,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20075",30499,"Pltano","04/04/2011 15:34","Alto (> 8 mts)",172,"Grande",-68.8395483397,-32.8882941534,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20079",30506,"Pltano","04/04/2011 15:18","Alto (> 8 mts)",148,"Grande",-68.839923959,-32.8877172816,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20081",30508,"Pltano","04/04/2011 15:13","Alto (> 8 mts)",108,"Grande",-68.8398832152,-32.8875536625,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20083",30512,"Fresno europeo","04/04/2011 16:19","Medio (4 - 8 mts)",46,"Mediano",-68.8397111791,-32.887286068,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"20088",30520,"Fresno americano","04/04/2011 16:07","Medio (4 - 8 mts)",88,"Grande",-68.8388257495,-32.8874444249,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20094",30527,"Pltano","04/04/2011 15:53","Alto (> 8 mts)",176,"Grande",-68.8388075558,-32.8880336038,3,"Parque O'Higgins",1531146.02653,0,"alto"
"20102",30538,"Fresno europeo","08/02/2011 09:32","Medio (4 - 8 mts)",38,"Mediano",-68.8574729261,-32.866752025,6,"Residencial Norte",2694682.37982,0,"bajo"
"20117",30563,"Fresno europeo","09/02/2011 10:20","Bajo (2 - 4 mts)",20,"Chico",-68.8571444078,-32.8661955524,6,"Residencial Norte",2694682.37982,0,"bajo"
"20119",30566,"Fresno europeo","09/02/2011 10:43","Bajo (2 - 4 mts)",10,"Chico",-68.8573683671,-32.8662097003,6,"Residencial Norte",2694682.37982,0,"bajo"
"20133",30583,"Paraiso","09/02/2011 12:08","Alto (> 8 mts)",170,"Grande",-68.8577606572,-32.8658834628,6,"Residencial Norte",2694682.37982,0,"medio"
"20134",30584,"Fresno europeo","09/02/2011 12:00","Medio (4 - 8 mts)",49,"Mediano",-68.8576082571,-32.8658747909,6,"Residencial Norte",2694682.37982,0,"bajo"
"20138",30590,"Prunas","11/02/2011 09:02","Bajo (2 - 4 mts)",40,"Mediano",-68.8575027293,-32.8653084043,6,"Residencial Norte",2694682.37982,0,"bajo"
"20145",30601,"Paraiso sombrilla","11/02/2011 09:41","Medio (4 - 8 mts)",125,"Grande",-68.8583558323,-32.8653504607,6,"Residencial Norte",2694682.37982,0,"medio"
"20154",30615,"Fresno europeo","07/02/2011 12:18","Medio (4 - 8 mts)",50,"Mediano",-68.8579390226,-32.8669006333,6,"Residencial Norte",2694682.37982,0,"bajo"
"20164",30632,"lamo blanco","07/02/2011 13:24","Medio (4 - 8 mts)",70,"Grande",-68.8581518883,-32.867418538,6,"Residencial Norte",2694682.37982,0,"bajo"
"20168",30639,"Morera","01/02/2011 13:39","Alto (> 8 mts)",130,"Grande",-68.854539935,-32.8680306547,6,"Residencial Norte",2694682.37982,0,"medio"
"20170",30643,"Morera","01/02/2011 13:15","Bajo (2 - 4 mts)",40,"Mediano",-68.8546069079,-32.8673822092,6,"Residencial Norte",2694682.37982,0,"bajo"
"20171",30644,"Morera","01/02/2011 13:14","Alto (> 8 mts)",140,"Grande",-68.8546172139,-32.8673018576,6,"Residencial Norte",2694682.37982,0,"medio"
"20174",30648,"Fresno europeo","01/02/2011 13:05","Muy bajo (1 - 2 mts)",12,"Chico",-68.8546815582,-32.866791711,6,"Residencial Norte",2694682.37982,0,"bajo"
"20178",30652,"Paraiso sombrilla","01/02/2011 12:50","Bajo (2 - 4 mts)",23,"Mediano",-68.8541386158,-32.8666806503,6,"Residencial Norte",2694682.37982,0,"bajo"
"20182",30657,"Fresno europeo","01/02/2011 12:19","Muy bajo (1 - 2 mts)",7,"Chico",-68.8538865221,-32.8670642312,6,"Residencial Norte",2694682.37982,0,"bajo"
"20189",30669,"Morera","02/02/2011 11:41","Medio (4 - 8 mts)",46,"Mediano",-68.8548133142,-32.8674906199,6,"Residencial Norte",2694682.37982,0,"bajo"
"20192",30673,"Paraiso","02/02/2011 13:25","Medio (4 - 8 mts)",190,"Grande",-68.854829662,-32.8673048247,6,"Residencial Norte",2694682.37982,0,"alto"
"20194",30676,"Fresno europeo","02/02/2011 13:37","Muy bajo (1 - 2 mts)",20,"Chico",-68.8548491838,-32.8671256995,6,"Residencial Norte",2694682.37982,0,"bajo"
"20204",30689,"Morera","03/02/2011 10:09","Alto (> 8 mts)",170,"Grande",-68.8556099796,-32.8668350403,6,"Residencial Norte",2694682.37982,0,"medio"
"20205",30690,"Jacarand","03/02/2011 10:17","Bajo (2 - 4 mts)",40,"Mediano",-68.8556030296,-32.8669515935,6,"Residencial Norte",2694682.37982,0,"bajo"
"20208",30693,"Morera","03/02/2011 12:26","Alto (> 8 mts)",80,"Grande",-68.8555916027,-32.867178234,6,"Residencial Norte",2694682.37982,0,"bajo"
"20209",30696,"Morera","03/02/2011 12:33","Alto (> 8 mts)",195,"Grande",-68.8555706566,-32.8673496752,6,"Residencial Norte",2694682.37982,0,"alto"
"20214",30704,"Olmo comun","03/02/2011 12:50","Medio (4 - 8 mts)",115,"Grande",-68.8555293033,-32.8677383013,6,"Residencial Norte",2694682.37982,0,"medio"
"20230",30728,"Fresno europeo","04/02/2011 11:56","Muy bajo (1 - 2 mts)",15,"Chico",-68.8556180713,-32.8677664735,6,"Residencial Norte",2694682.37982,0,"bajo"
"20236",30737,"Morera","04/02/2011 12:55","Medio (4 - 8 mts)",20,"Chico",-68.8555051608,-32.868820438,6,"Residencial Norte",2694682.37982,0,"bajo"
"20241",30747,"Fresno europeo","02/02/2011 09:57","Medio (4 - 8 mts)",44,"Mediano",-68.8547005342,-32.8686364773,6,"Residencial Norte",2694682.37982,0,"bajo"
"20246",30758,"Morera","02/02/2011 09:22","Alto (> 8 mts)",125,"Grande",-68.8553185589,-32.8690331674,6,"Residencial Norte",2694682.37982,0,"medio"
"20251",30766,"Fresno europeo","03/02/2011 13:08","Alto (> 8 mts)",60,"Mediano",-68.8554662928,-32.8684154338,6,"Residencial Norte",2694682.37982,0,"bajo"
"20254",30773,"Morera","31/01/2011 11:40","Medio (4 - 8 mts)",90,"Grande",-68.8537163603,-32.8688153934,6,"Residencial Norte",2694682.37982,0,"medio"
"20257",30777,"Morera","02/02/2011 09:09","Alto (> 8 mts)",190,"Grande",-68.8540701183,-32.8689588343,6,"Residencial Norte",2694682.37982,0,"alto"
"20264",30784,"Morera","07/02/2011 09:05","Alto (> 8 mts)",80,"Grande",-68.8565212773,-32.8666863055,6,"Residencial Norte",2694682.37982,0,"bajo"
"20267",30789,"Fresno europeo","14/02/2011 12:26","Medio (4 - 8 mts)",82,"Grande",-68.8561132443,-32.8648985047,6,"Residencial Norte",2694682.37982,0,"bajo"
"20277",30804,"Fresno americano","14/02/2011 11:33","Alto (> 8 mts)",46,"Mediano",-68.8561212271,-32.865502922,6,"Residencial Norte",2694682.37982,0,"bajo"
"20281",30810,"Braquiquito","14/02/2011 13:13","Alto (> 8 mts)",96,"Grande",-68.8565995921,-32.8654537518,6,"Residencial Norte",2694682.37982,0,"medio"
"20283",30813,"Morera","22/06/2011 12:26","Alto (> 8 mts)",60,"Mediano",-68.8556629526,-32.8664114156,6,"Residencial Norte",2694682.37982,0,"bajo"
"20284",30814,"Morera","14/02/2011 13:24","Alto (> 8 mts)",110,"Grande",-68.8556660245,-32.8663480273,6,"Residencial Norte",2694682.37982,0,"medio"
"20285",30816,"Fresno americano","14/02/2011 13:20","Bajo (2 - 4 mts)",30,"Mediano",-68.8556691039,-32.8662905631,6,"Residencial Norte",2694682.37982,0,"bajo"
"20291",30828,"Fresno europeo","14/02/2011 13:50","Medio (4 - 8 mts)",96,"Grande",-68.8549379331,-32.8662507173,6,"Residencial Norte",2694682.37982,0,"medio"
"20293",30832,"Olmo bola","14/02/2011 13:43","Medio (4 - 8 mts)",112,"Grande",-68.8549167986,-32.8664710076,6,"Residencial Norte",2694682.37982,0,"medio"
"20297",30839,"Morera","14/02/2011 13:35","Alto (> 8 mts)",170,"Grande",-68.8554343371,-32.8666262186,6,"Residencial Norte",2694682.37982,0,"medio"
"20299",30842,"Fresno europeo","14/02/2011 13:29","Medio (4 - 8 mts)",50,"Mediano",-68.8556501822,-32.8665224293,6,"Residencial Norte",2694682.37982,0,"bajo"
"20307",30852,"Paraiso sombrilla","15/02/2011 09:07","Medio (4 - 8 mts)",110,"Grande",-68.8552440045,-32.8657004553,6,"Residencial Norte",2694682.37982,0,"medio"
"20310",30856,"Fresno europeo","15/02/2011 12:41","Medio (4 - 8 mts)",95,"Grande",-68.8549794315,-32.8658141583,6,"Residencial Norte",2694682.37982,0,"medio"
"20313",30859,"Fresno europeo","15/02/2011 12:46","Medio (4 - 8 mts)",129,"Grande",-68.8549581218,-32.8660246632,6,"Residencial Norte",2694682.37982,0,"medio"
"20320",30871,"Fresno europeo","15/02/2011 13:33","Medio (4 - 8 mts)",80,"Grande",-68.8550152118,-32.8654770388,6,"Residencial Norte",2694682.37982,0,"bajo"
"20321",30872,"Fresno europeo","15/02/2011 13:31","Bajo (2 - 4 mts)",30,"Mediano",-68.8550617568,-32.8654010284,6,"Residencial Norte",2694682.37982,0,"bajo"
"20323",30874,"Acer","15/02/2011 13:29","Alto (> 8 mts)",150,"Grande",-68.8551491314,-32.8654186126,6,"Residencial Norte",2694682.37982,0,"medio"
"20330",30883,"Paraiso","17/02/2011 09:30","Alto (> 8 mts)",90,"Grande",-68.8540248523,-32.8656713909,6,"Residencial Norte",2694682.37982,0,"medio"
"20331",30884,"Paraiso","17/02/2011 09:28","Alto (> 8 mts)",70,"Grande",-68.8540272488,-32.8656433501,6,"Residencial Norte",2694682.37982,0,"bajo"
"20332",30885,"Paraiso","17/02/2011 09:23","Alto (> 8 mts)",140,"Grande",-68.8540309981,-32.8656171449,6,"Residencial Norte",2694682.37982,0,"medio"
"20336",30895,"Fresno europeo","17/02/2011 12:21","Medio (4 - 8 mts)",45,"Mediano",-68.8542943907,-32.866208019,6,"Residencial Norte",2694682.37982,0,"bajo"
"20337",30897,"Acer","17/02/2011 11:58","Bajo (2 - 4 mts)",5,"Chico",-68.8547545155,-32.8660659113,6,"Residencial Norte",2694682.37982,0,"bajo"
